# STATION: WBB
# STATION NAME: U of U William Browning Building
# LATITUDE: 40.76623
# LONGITUDE: -111.84755
# ELEVATION [ft]: 4806
# STATE: UT
Station_ID,Date_Time,PM_25_concentration,pressure,air_temp,ozone_concentration,relative_humidity,wind_speed,wind_direction,wind_gust,precip_accum_five_minute,volt,volt_set_2,sensor_error_code,solar_radiation,precip_accum,precip_accum_one_minute
,,ug/m3,INHG,Fahrenheit,ppb,%,Miles/hour,Degrees,Miles/hour,Inches,volts,volts,code,W/m**2,Inches,Inches
WBB,07/27/2023 00:00 MDT,,25.24,78.84,37.72,26.19,0.11,7.57,1.31,,13.1,13.17,,0.0,,0.0
WBB,07/27/2023 00:01 MDT,,25.24,78.91,,26.28,1.17,4.07,1.97,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:02 MDT,,25.24,78.89,,26.42,0.26,356.5,2.2,,13.09,,,0.0,,0.0
WBB,07/27/2023 00:03 MDT,,25.23,78.78,,26.93,1.84,355.6,4.17,,13.02,,,0.0,,0.0
WBB,07/27/2023 00:04 MDT,,25.24,78.8,,26.95,0.77,10.95,2.85,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:05 MDT,,25.23,78.78,37.99,26.99,0.89,20.28,3.51,,13.1,13.12,,0.0,,0.0
WBB,07/27/2023 00:06 MDT,,25.24,78.6,,27.06,4.07,17.17,5.04,,13.09,,,0.0,,0.0
WBB,07/27/2023 00:07 MDT,,25.23,78.44,,27.1,3.69,21.8,4.38,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:08 MDT,,25.24,78.31,,27.37,4.37,17.18,5.7,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:09 MDT,,25.24,78.19,,27.91,2.54,18.2,4.6,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:10 MDT,,25.24,78.03,36.06,28.46,0.0,,0.0,,13.1,13.12,,0.0,,0.0
WBB,07/27/2023 00:11 MDT,,25.24,77.9,,29.07,0.0,,0.0,,13.02,,,0.0,,0.0
WBB,07/27/2023 00:12 MDT,,25.24,77.76,,29.18,0.0,,0.0,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:13 MDT,,25.24,77.61,,29.31,0.0,,0.0,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:14 MDT,,25.24,77.52,,29.49,0.45,345.4,1.97,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:15 MDT,,25.24,77.45,34.55,30.87,0.01,258.4,0.44,,13.1,13.12,,0.0,,0.0
WBB,07/27/2023 00:16 MDT,,25.24,77.49,,30.7,0.01,144.1,0.44,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:17 MDT,,25.24,77.34,,30.19,0.0,,0.0,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:18 MDT,,25.24,77.18,,30.46,1.38,33.63,3.29,,13.01,,,0.0,,0.0
WBB,07/27/2023 00:19 MDT,,25.23,76.98,,31.15,2.49,30.21,3.73,,13.01,,,0.0,,0.0
WBB,07/27/2023 00:20 MDT,,25.23,76.84,34.7,31.97,2.21,21.55,3.07,,13.1,13.18,,0.0,,0.0
WBB,07/27/2023 00:21 MDT,,25.23,76.89,,32.19,1.14,6.29,3.73,,13.09,,,0.0,,0.0
WBB,07/27/2023 00:22 MDT,,25.23,77.0,,32.17,0.62,5.96,2.2,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:23 MDT,,25.23,77.16,,32.01,1.68,11.95,2.42,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:24 MDT,,25.23,77.32,,31.95,1.14,1.8,1.97,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:25 MDT,,25.23,77.4,35.86,31.58,0.13,19.36,1.75,,13.1,13.13,,0.0,,0.0
WBB,07/27/2023 00:26 MDT,,25.23,77.34,,31.72,2.13,18.44,3.07,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:27 MDT,,25.23,77.18,,32.01,2.64,24.22,3.07,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:28 MDT,,25.23,77.09,,31.98,3.19,38.51,3.95,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:29 MDT,,25.23,77.0,,32.03,3.75,48.91,5.04,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:30 MDT,,25.23,76.95,35.46,32.17,3.96,47.22,4.82,,13.11,13.14,,0.0,,0.0
WBB,07/27/2023 00:31 MDT,,25.23,76.96,,32.36,4.1,41.09,4.82,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:32 MDT,,25.23,77.02,,32.49,4.6,38.83,5.48,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:33 MDT,,25.23,77.04,,32.56,5.11,38.57,6.35,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:34 MDT,,25.22,76.98,,32.72,5.28,35.39,5.91,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:35 MDT,,25.22,77.0,36.65,32.59,6.06,36.36,7.01,,13.11,13.12,,0.0,,0.0
WBB,07/27/2023 00:36 MDT,,25.22,77.0,,32.64,6.77,36.61,7.89,,13.02,,,0.0,,0.0
WBB,07/27/2023 00:37 MDT,,25.22,77.04,,32.56,6.11,36.07,7.46,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:38 MDT,,25.23,77.11,,32.28,5.67,33.66,7.01,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:39 MDT,,25.23,77.09,,32.25,4.89,35.77,5.91,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:40 MDT,,25.23,77.11,36.05,32.36,4.36,28.42,5.48,,13.1,13.14,,0.0,,0.0
WBB,07/27/2023 00:41 MDT,,25.23,77.07,,32.44,4.53,31.82,5.04,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:42 MDT,,25.23,76.93,,32.48,6.35,33.42,8.33,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:43 MDT,,25.22,76.69,,32.43,7.97,37.06,8.99,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:44 MDT,,25.22,76.53,,32.57,7.79,36.33,9.21,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:45 MDT,,25.22,76.41,35.14,32.72,8.24,34.61,9.21,,13.11,13.13,,0.0,,0.0
WBB,07/27/2023 00:46 MDT,,25.22,76.33,,32.46,9.49,32.51,10.52,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:47 MDT,,25.22,76.37,,32.49,8.82,34.64,9.42,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:48 MDT,,25.22,76.41,,32.54,9.0,38.65,10.3,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:49 MDT,,25.22,76.32,,32.79,9.56,39.1,10.74,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:50 MDT,,25.22,76.24,35.63,32.8,9.5,38.47,10.96,,13.11,13.14,,0.0,,0.0
WBB,07/27/2023 00:51 MDT,,25.22,76.3,,32.67,9.83,39.52,11.17,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:52 MDT,,25.22,76.3,,32.65,9.35,40.54,11.39,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:53 MDT,,25.22,76.3,,32.83,7.76,39.36,9.86,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:54 MDT,,25.22,76.24,,32.91,8.09,33.45,9.64,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:55 MDT,,25.22,76.24,35.66,32.8,7.15,30.37,9.21,,13.11,13.15,,0.0,,0.0
WBB,07/27/2023 00:56 MDT,,25.22,76.42,,32.46,6.86,30.81,8.11,,13.1,,,0.0,,0.0
WBB,07/27/2023 00:57 MDT,,25.22,76.46,,32.42,6.88,29.34,7.89,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:58 MDT,,25.22,76.48,,32.23,7.58,27.25,8.77,,13.11,,,0.0,,0.0
WBB,07/27/2023 00:59 MDT,,25.22,76.42,,32.5,6.44,27.09,7.67,,13.1,,,0.0,,0.0
WBB,07/27/2023 01:00 MDT,,25.22,76.24,35.22,32.73,7.47,30.41,8.55,,13.11,13.14,,0.0,,0.0
WBB,07/27/2023 01:01 MDT,,25.22,76.17,,32.92,6.73,27.02,7.46,,13.01,,,0.0,,0.0
WBB,07/27/2023 01:02 MDT,,25.22,76.1,,33.15,6.85,28.78,8.33,,13.1,,,0.0,,0.0
WBB,07/27/2023 01:03 MDT,,25.21,76.33,,32.49,7.56,23.51,8.33,,13.03,,,0.0,,0.0
WBB,07/27/2023 01:04 MDT,,25.21,76.75,,32.12,6.49,34.48,7.46,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:05 MDT,,25.21,76.87,36.37,32.23,6.43,43.61,7.46,,13.12,13.19,,0.0,,0.0
WBB,07/27/2023 01:06 MDT,,25.21,76.62,,32.28,6.48,39.08,7.23,,13.1,,,0.0,,0.0
WBB,07/27/2023 01:07 MDT,,25.21,76.51,,32.25,6.49,38.52,7.46,,13.07,,,0.0,,0.0
WBB,07/27/2023 01:08 MDT,,25.21,76.51,,32.16,5.33,29.69,6.13,,13.03,,,0.0,,0.0
WBB,07/27/2023 01:09 MDT,,25.21,76.59,,32.11,5.0,15.37,6.13,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:10 MDT,,25.21,76.77,36.33,31.77,4.53,20.78,5.04,,13.1,13.19,,0.0,,0.0
WBB,07/27/2023 01:11 MDT,,25.22,76.95,,31.52,3.98,22.3,5.7,,13.1,,,0.0,,0.0
WBB,07/27/2023 01:12 MDT,,25.22,76.87,,31.0,4.42,31.73,6.35,,13.03,,,0.0,,0.0
WBB,07/27/2023 01:13 MDT,,25.22,76.86,,30.9,3.06,37.79,4.17,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:14 MDT,,25.22,76.86,,30.96,1.22,23.66,2.2,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:15 MDT,,25.22,76.86,36.04,31.12,0.74,26.28,2.42,,13.12,13.2,,0.0,,0.0
WBB,07/27/2023 01:16 MDT,,25.22,76.77,,31.3,0.0,,0.22,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:17 MDT,,25.22,76.73,,31.68,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:18 MDT,,25.22,76.59,,33.93,0.0,,0.0,,13.1,,,0.0,,0.0
WBB,07/27/2023 01:19 MDT,,25.22,76.41,,33.21,0.02,244.6,0.44,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:20 MDT,,25.22,76.23,35.45,33.02,0.0,,0.0,,13.12,13.14,,0.0,,0.0
WBB,07/27/2023 01:21 MDT,,25.22,76.14,,33.23,0.0,,0.0,,13.03,,,0.0,,0.0
WBB,07/27/2023 01:22 MDT,,25.22,76.05,,34.04,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:23 MDT,,25.22,75.97,,34.26,0.0,,0.0,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:24 MDT,,25.22,75.92,,35.28,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:25 MDT,,25.22,75.79,34.83,35.47,0.0,,0.0,,13.12,13.14,,0.0,,0.0
WBB,07/27/2023 01:26 MDT,,25.22,75.56,,35.51,0.0,,0.0,,13.05,,,0.0,,0.0
WBB,07/27/2023 01:27 MDT,,25.22,75.42,,35.46,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:28 MDT,,25.22,75.45,,35.23,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:29 MDT,,25.22,75.43,,35.1,0.48,28.05,1.97,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:30 MDT,,25.22,75.38,34.18,35.1,3.0,27.75,3.95,,13.12,13.15,,0.0,,0.0
WBB,07/27/2023 01:31 MDT,,25.22,75.31,,34.95,3.92,28.02,4.82,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:32 MDT,,25.22,75.25,,35.02,5.26,29.72,6.57,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:33 MDT,,25.22,75.15,,34.9,6.57,34.15,7.67,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:34 MDT,,25.22,75.16,,34.86,7.19,41.48,7.89,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:35 MDT,,25.22,75.29,35.06,34.91,7.23,41.09,8.11,,13.12,13.15,,0.0,,0.0
WBB,07/27/2023 01:36 MDT,,25.22,75.51,,34.38,7.61,39.25,8.77,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:37 MDT,,25.21,75.72,,34.02,7.17,38.01,8.55,,13.11,,,0.0,,0.0
WBB,07/27/2023 01:38 MDT,,25.21,75.94,,33.4,7.73,38.13,9.64,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:39 MDT,,25.21,76.03,,33.15,8.85,39.12,10.08,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:40 MDT,,25.21,76.12,35.86,33.08,9.7,43.38,11.62,,13.11,13.16,,0.0,,0.0
WBB,07/27/2023 01:41 MDT,,25.21,76.3,,32.97,10.68,41.1,11.62,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:42 MDT,,25.21,76.42,,32.82,10.69,40.81,12.72,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:43 MDT,,25.21,76.44,,32.43,11.97,41.43,13.59,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:44 MDT,,25.21,76.28,,32.31,11.92,44.24,13.37,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:45 MDT,,25.21,75.99,35.87,32.86,11.95,42.21,14.03,,13.11,13.15,,0.0,,0.0
WBB,07/27/2023 01:46 MDT,,25.21,75.79,,33.13,10.7,44.96,14.03,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:47 MDT,,25.21,75.65,,33.29,10.77,39.32,12.93,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:48 MDT,,25.2,75.58,,33.22,10.55,38.22,12.93,,13.04,,,0.0,,0.0
WBB,07/27/2023 01:49 MDT,,25.21,75.43,,33.49,9.34,42.16,11.84,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:50 MDT,,25.2,75.29,35.35,33.2,11.81,36.85,13.81,,13.12,13.16,,0.0,,0.0
WBB,07/27/2023 01:51 MDT,,25.2,75.33,,33.14,10.42,37.37,13.59,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:52 MDT,,25.21,75.38,,32.89,9.94,33.17,13.81,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:53 MDT,,25.21,75.56,,32.57,8.75,22.9,10.96,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:54 MDT,,25.21,75.85,,31.78,6.93,14.03,8.99,,13.12,,,0.0,,0.0
WBB,07/27/2023 01:55 MDT,,25.21,76.12,36.03,31.7,4.22,8.24,6.57,,13.13,13.16,,0.0,,0.0
WBB,07/27/2023 01:56 MDT,,25.21,76.21,,32.19,0.45,355.4,2.64,,13.04,,,0.0,,0.0
WBB,07/27/2023 01:57 MDT,,25.21,76.15,,32.99,0.0,,0.0,,13.13,,,0.0,,0.0
WBB,07/27/2023 01:58 MDT,,25.21,76.08,,34.27,0.36,342.2,1.09,,13.04,,,0.0,,0.0
WBB,07/27/2023 01:59 MDT,,25.21,76.03,,32.74,0.51,352.3,1.53,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:00 MDT,,25.21,75.96,36.01,32.7,0.01,346.6,0.22,,13.13,13.21,,0.0,,0.0
WBB,07/27/2023 02:01 MDT,,25.21,75.9,,32.83,0.0,,0.0,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:02 MDT,,25.21,75.85,,34.88,0.0,,0.0,,13.12,,,0.0,,0.0
WBB,07/27/2023 02:03 MDT,,25.21,75.74,,33.78,0.0,,0.22,,13.12,,,0.0,,0.0
WBB,07/27/2023 02:04 MDT,,25.21,75.65,,33.32,0.76,345.6,2.42,,13.12,,,0.0,,0.0
WBB,07/27/2023 02:05 MDT,,25.21,75.58,36.28,33.38,1.38,352.6,2.42,,13.13,13.16,,0.0,,0.0
WBB,07/27/2023 02:06 MDT,,25.21,75.54,,33.65,0.41,9.36,1.97,,13.07,,,0.0,,0.0
WBB,07/27/2023 02:07 MDT,,25.21,75.51,,33.63,1.76,38.62,2.42,,13.05,,,0.0,,0.0
WBB,07/27/2023 02:08 MDT,,25.21,75.4,,33.47,2.85,44.1,4.17,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:09 MDT,,25.2,75.36,,33.28,4.19,32.35,5.04,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:10 MDT,,25.2,75.38,36.06,33.25,3.46,28.95,4.17,,13.12,13.16,,0.0,,0.0
WBB,07/27/2023 02:11 MDT,,25.2,75.43,,32.99,2.62,28.36,3.29,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:12 MDT,,25.21,75.63,,32.76,3.14,37.65,4.38,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:13 MDT,,25.21,75.94,,31.6,3.44,37.8,5.04,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:14 MDT,,25.21,76.33,,31.07,3.72,31.34,4.38,,13.13,,,0.0,,0.0
WBB,07/27/2023 02:15 MDT,,25.21,76.57,36.51,30.71,4.05,30.27,4.6,,13.13,13.15,,0.0,,0.0
WBB,07/27/2023 02:16 MDT,,25.2,76.71,,30.49,3.74,27.31,4.38,,13.04,,,0.0,,0.0
